epoch,train_loss,val_loss,val_psnr,val_ssim,seconds
1,0.031332039128590325,0.011141688463048659,35.37930785694384,0.9521258134922332,95.6
2,0.011437437080574705,0.010418108599665372,37.38769693848605,0.9565157634038957,114.7
3,0.010586029369571993,0.010722235065619439,37.341518054019645,0.95866097270985,86.5
4,0.010725093865665817,0.009937495319847611,38.04676703849568,0.9604205819729206,86.9
5,0.010138854949602831,0.010619610979037297,37.58946416427716,0.9618010377004289,87.4
6,0.010046139750218659,0.010521310075649605,37.67177669926022,0.9621492136143998,87.5
7,0.010079195708465567,0.010120182046171836,38.45913281967082,0.9641165112758533,87.9
8,0.009861693348020461,0.009226318878000198,38.83260334644699,0.9640742624074551,91.6
9,0.009767719553732401,0.009776246483811146,38.272984280722056,0.9638182214909632,91.0
10,0.009787713995750033,0.009420730575811172,38.634882180217595,0.9647576913458229,88.3
11,0.009688127974925647,0.009070709424210344,38.968834327414754,0.9653561766204142,88.1
12,0.009617623337204409,0.009213097556381698,38.9876360221607,0.9652338462791185,88.2
13,0.00964900762709891,0.009322403568396533,38.91340901361587,0.9651867692176199,88.3
14,0.009444125038582751,0.008912491216211791,39.05783162729265,0.9654142186324859,109.8
15,0.00940917095804843,0.008920034175009832,39.15521868591386,0.9659684102442443,117.0
