filename,bicubic_psnr,bicubic_ssim,srcnn_psnr,srcnn_ssim,edsr_psnr,edsr_ssim
103064_A1_000827.png,34.56048729526414,0.8785796374893189,37.00322808575032,0.9453054940824509,37.42586493154171,0.9485811830148697
103064_A1_000828.png,34.33453759736778,0.8827846520433426,36.54905874057708,0.9401860469112396,36.72618143134298,0.9411894008860588
103064_A2_000829.png,34.76033661992258,0.8716464079465867,37.726943394073416,0.9460420995664597,38.23028304559282,0.9501205687646865
103064_A2_000830.png,34.59601969118459,0.8764294072108268,37.337749063601514,0.9466341028776168,37.746278840720095,0.9497523152437211
103064_A3_000831.png,34.8397360554003,0.8833133506469727,38.028364977670705,0.954612232416153,38.355570210175124,0.9565522747049332
103064_A3_000832.png,34.84991150923021,0.8701793525605201,38.05672207019932,0.9481311997776032,38.2843250256244,0.950412664894104
103064_B4_000833.png,34.92781928277858,0.851594390385151,38.99304692905807,0.9584781330299378,39.549140930188486,0.9616231083993911
103064_B4_000834.png,34.8284755164023,0.8838106261219978,37.46548244963944,0.94762295682621,37.942077944623676,0.9529620704202652
103064_B5_000835.png,35.306911857190016,0.8738092729558945,39.166876422553656,0.9602874027404785,39.92467043368095,0.9644560941400528
103064_B5_000836.png,34.87719412847003,0.8670529603028297,37.889123221930234,0.9453364492702484,38.49589568179013,0.9508036930627823
103064_C10_000845.png,35.13390889464648,0.8772790830955506,38.83369982495451,0.9620393612556457,39.31586859195847,0.9643587396764756
103064_C10_000846.png,35.01651763188566,0.8877197247090339,38.31832402172091,0.9578866671504974,38.90671989220263,0.9617575079221725
103064_C11_000847.png,34.93950313207337,0.8817801841831208,38.47694408805866,0.9583366607503891,39.21649652275513,0.9624353637599945
103064_C11_000848.png,35.24505828138294,0.8685731558055878,39.29032269740149,0.9624131225242615,40.03806604702803,0.9677345727672577
103064_C12_000849.png,35.18131849345301,0.8760949275093078,39.33200423705432,0.9673142324018479,40.05474253063268,0.9709445983953476
103064_C12_000850.png,35.17323948133609,0.885326501522541,38.57562239063436,0.9623941285943985,39.31975295048561,0.9676768542146683
103064_C6_000837.png,34.843941506533554,0.873019149189949,37.67442659363403,0.9450066421146393,38.04216003169341,0.9475420831480026
103064_C6_000838.png,35.151044264662865,0.8755539931602478,38.533990650049745,0.9537083348999024,39.00826792441547,0.955564012415886
103064_C7_000839.png,35.05935402567602,0.8608759448900223,39.589239694933774,0.9659722311763763,40.41697888318328,0.9701045249643325
103064_C7_000840.png,35.01373390547399,0.8899486383199692,38.248083940288524,0.95701805352211,38.64614941643615,0.9602522149715423
103064_C8_000841.png,35.266664936022195,0.8611186338596344,40.10527543730135,0.9695783755350112,40.95005002005593,0.9731226926412583
103064_C8_000842.png,35.13074280098816,0.8861452518701554,39.01714150112955,0.9644452135181427,39.380014169369296,0.9670699600601196
103064_C9_000843.png,35.07266880430453,0.8841734474568367,38.639237912800915,0.9632508597269058,39.224894346059145,0.9662334495363235
103064_C9_000844.png,35.15213630236782,0.8643759213318825,39.45714810279444,0.9614413279876709,40.404813014306086,0.9669893016004563
103064_D13_000851.png,35.23915156615987,0.8710464233863354,39.45441489028855,0.9668471326065063,40.28776863938673,0.9706030482950211
103064_D13_000852.png,35.06215845633982,0.879503326731205,39.17356912894761,0.9661164178943634,39.78165983939093,0.9696419190664292
103064_D14_000853.png,35.18594004322389,0.86752947453022,39.49824534506173,0.9632774010267258,40.24487037677397,0.9671910066251754
103064_D14_000854.png,35.209360574481956,0.8665330391836167,39.31380590207435,0.9631875671262741,40.082489989204205,0.9678596216173172
103064_D15_000855.png,35.14505281945455,0.8677863675880432,39.424346271484126,0.9675393464698792,40.09180626071314,0.9708790347919464
103064_D15_000856.png,35.15406058427316,0.8723488091955185,39.305720779456706,0.9683770174837112,40.41823547447673,0.9752585867090225
103064_E16_000857.png,35.32112533286815,0.8697450283894539,40.06653433526243,0.9729852853975296,40.8814085384233,0.9766952365818024
103064_E16_000858.png,35.47851775129026,0.8690185115923882,40.141005738945246,0.9746607579116822,41.22600938998921,0.9791291452589035
103064_E17_000859.png,35.34484125018339,0.8694346226558686,40.16984097603691,0.9717609454917908,41.21285173155481,0.9778309810400009
103064_E17_000860.png,35.33903756893506,0.8599617098317146,40.55707447671775,0.9721180832767486,41.40072943082232,0.9762285335884094
103064_E18_000861.png,35.33165507789697,0.8757348044342995,39.98757296793475,0.9752933045215607,40.87347562029937,0.9813139286031723
103064_F19_000862.png,35.08559636006363,0.8600059657530784,40.3999606060722,0.9721079158296585,41.20308052880702,0.9768681319217681
103064_F19_000863.png,35.34632658275014,0.8663603032889367,40.55487366290243,0.9753552885818482,41.2502829939875,0.9784098503656388
103064_F20_000864.png,35.29643986710316,0.8690241577301026,40.3000036065528,0.974964891711235,41.105018848212026,0.9796545621738434
103064_F20_000865.png,35.29225148463369,0.8672939985833168,40.40505896942279,0.9749431418237686,41.47518972140983,0.9808247738828659
103064_G21_000866.png,35.28071741849828,0.8611383035821915,40.55016311208433,0.9773740877981186,41.66678882336449,0.9821557463960647
103064_G21_000867.png,35.236188900553586,0.8580825034694671,40.75775561669845,0.977675084698677,41.87455427392682,0.9825984638881683
103064_G22_000868.png,35.45127835475776,0.855821885980606,40.815396414506196,0.9727642034654618,41.76359759189523,0.975871554517746
103064_G22_000869.png,35.28779904501461,0.8755172695055008,40.06833518541356,0.9750834708881378,40.78852661316031,0.978658761095047
103064_X_000870.png,35.07622960600918,0.8514014290070534,39.35028833730422,0.9572677373628616,40.214431054280254,0.9627631376581192
103064_Y_000871.png,35.30593514382983,0.8775809056491852,40.16895111563226,0.9748537726764679,41.08018217024329,0.9815763982095719
103202_A1_001241.png,35.35351322996529,0.8852734446969033,39.024055374545426,0.9675729757461548,39.28950040242328,0.9693145382146835
103202_A1_001242.png,34.82998964948027,0.88699405635643,36.84663274543495,0.945469910648346,37.47646943231259,0.9509819650049209
103202_A2_001243.png,35.18160108507231,0.8832088121352196,37.89191336373464,0.9550191741886139,38.14482890384027,0.9561733342456817
103202_A2_001244.png,34.84323508898355,0.8690864159522057,37.38623157083989,0.9442651663179398,37.66820884293638,0.9455714359140396
103202_A3_001245.png,34.895157235392766,0.9001279433979988,37.15307093385755,0.9566538396692276,37.84622992516101,0.9625335872282982
103202_A3_001246.png,34.99616977068901,0.9068697852811813,37.460641072706714,0.9601889476175308,37.76269823402026,0.9621063772583007
103202_B4_001247.png,35.09909720933293,0.8713643106985092,38.42541456234947,0.9578811280870437,38.86358755865513,0.9597617078399658
