epoch,train_loss,val_loss,val_psnr,val_ssim,seconds
1,0.042970306063560046,0.014294477501785122,30.92547199811714,0.9354952231451612,165.4
2,0.014758441880874827,0.014265166978905166,32.93235315821064,0.9135033139943616,162.1
3,0.012756625989811489,0.01181123543638682,35.61974798544123,0.9566692980936902,205.8
4,0.012156259285116842,0.012372817081097819,36.014424830154894,0.9570840519390378,339.4
5,0.011525373491129115,0.009916234836162288,38.02876229255143,0.9604644872759406,257.4
6,0.010778375811362364,0.010613936089555135,37.96672920523655,0.9628563152355913,159.8
7,0.010811287494688704,0.010335505543195683,38.26760070917793,0.964507929085615,175.5
8,0.010171687043585809,0.009245270840679679,38.66426479514187,0.9643953915176796,755.2
9,0.010660788261317243,0.009350050060789367,38.71733789272817,0.9658470784087685,252.3
10,0.010235582087599964,0.012872773131742569,37.303460560213985,0.9658157892550321,158.2
11,0.009777474061880323,0.009949259026255009,38.134206111118694,0.9658498704047426,266.0
12,0.009922030630680572,0.009365953907262588,38.53193628829046,0.9646179020787581,154.3
13,0.009938485899589525,0.009167996699503366,38.707499435944754,0.9661203895534609,554.7
14,0.010040407579696686,0.009044947422105045,38.96384741506815,0.9660812646352609,157.1
15,0.009566999286278893,0.009830262715329871,38.23587857006063,0.9669128568138856,156.8
16,0.00983193764482556,0.009237169231409612,38.75747034988936,0.9666783500396943,379.4
17,0.009957058761489987,0.010336228398885127,38.522219887396666,0.9678476318014764,602.4
18,0.00959934842124725,0.008882700913734195,39.09529791547178,0.9673397932927316,2383.0
19,0.00947072422849708,0.009286750562417047,38.66929178153769,0.9674034578345033,142.1
20,0.009452042728874748,0.008981797875665524,38.9876421443592,0.9676744357939532,134.3
